id,userid,date,pageid
1,5,2010-07-19 19:39:07,0
2,6,2010-07-19 19:39:07,0
3,8,2010-07-19 19:39:07,0
4,23,2010-07-19 19:39:07,0
5,36,2010-07-19 19:39:07,0
6,37,2010-07-19 19:39:07,0
7,50,2010-07-19 19:39:07,0
8,55,2010-07-19 19:39:07,0
9,5,2010-07-19 19:39:07,0
10,8,2010-07-19 19:39:07,0
11,13,2010-07-19 19:39:08,0
12,18,2010-07-19 19:39:08,0
13,23,2010-07-19 19:39:08,0
14,24,2010-07-19 19:39:08,0
16,59,2010-07-19 19:39:08,0
17,66,2010-07-19 19:39:08,0
18,69,2010-07-19 19:39:08,0
19,75,2010-07-19 19:39:08,0
20,13,2010-07-19 19:39:08,0
21,23,2010-07-19 19:39:08,0
22,6,2010-07-19 19:39:08,0
23,60,2010-07-19 19:39:08,0
24,80,2010-07-19 19:39:08,0
25,6,2010-07-19 19:39:09,0
26,22,2010-07-19 19:39:09,0
27,23,2010-07-19 19:39:09,0
28,24,2010-07-19 19:39:09,0
29,41,2010-07-19 19:39:09,0
31,50,2010-07-19 19:39:09,0
32,55,2010-07-19 19:39:09,0
33,57,2010-07-19 19:39:09,0
34,59,2010-07-19 19:39:09,0
35,62,2010-07-19 19:39:09,0
37,64,2010-07-19 19:39:09,0
38,66,2010-07-19 19:39:09,0
39,69,2010-07-19 19:39:09,0
40,71,2010-07-19 19:39:09,0
41,76,2010-07-19 19:39:09,0
42,77,2010-07-19 19:39:09,0
43,78,2010-07-19 19:39:09,0
44,80,2010-07-19 19:39:09,0
45,81,2010-07-19 19:39:09,0
46,88,2010-07-19 19:39:09,0
47,23,2010-07-19 19:39:09,0
48,60,2010-07-19 19:39:09,0
49,61,2010-07-19 19:39:09,0
50,74,2010-07-19 19:39:09,0
51,2,2010-07-19 19:39:09,0
52,3,2010-07-19 19:39:09,0
53,7,2010-07-19 19:39:09,0
54,8,2010-07-19 19:39:09,0
55,10,2010-07-19 19:39:09,0
56,11,2010-07-19 19:39:09,0
57,12,2010-07-19 19:39:09,0
58,13,2010-07-19 19:39:09,0
60,18,2010-07-19 19:39:09,0
61,19,2010-07-19 19:39:09,0
62,27,2010-07-19 19:39:09,0
63,29,2010-07-19 19:39:09,0
64,38,2010-07-19 19:39:10,0
65,39,2010-07-19 19:39:10,0
66,40,2010-07-19 19:39:10,0
67,41,2010-07-19 19:39:10,0
69,46,2010-07-19 19:39:10,0
70,50,2010-07-19 19:39:10,0
71,53,2010-07-19 19:39:10,0
72,54,2010-07-19 19:39:10,0
73,55,2010-07-19 19:39:10,0
74,57,2010-07-19 19:39:10,0
75,59,2010-07-19 19:39:10,0
76,60,2010-07-19 19:39:10,0
77,62,2010-07-19 19:39:10,0
78,64,2010-07-19 19:39:10,0
79,65,2010-07-19 19:39:10,0
80,66,2010-07-19 19:39:10,0
81,69,2010-07-19 19:39:10,0
82,71,2010-07-19 19:39:10,0
83,74,2010-07-19 19:39:10,0
84,75,2010-07-19 19:39:10,0
85,76,2010-07-19 19:39:10,0
86,78,2010-07-19 19:39:10,0
87,80,2010-07-19 19:39:10,0
88,84,2010-07-19 19:39:10,0
89,85,2010-07-19 19:39:10,0
90,88,2010-07-19 19:39:10,0
91,23,2010-07-19 19:39:10,0
93,22,2010-07-19 19:44:07,0
94,62,2010-07-19 19:44:07,0
95,8,2010-07-19 19:44:07,0
96,36,2010-07-19 19:44:07,0
97,55,2010-07-19 19:44:07,0
98,36,2010-07-19 19:44:07,0
99,94,2010-07-19 19:44:07,0
100,39,2010-07-19 19:49:06,0
101,41,2010-07-19 19:49:06,0
102,56,2010-07-19 19:49:06,0
103,87,2010-07-19 19:49:07,0
104,17,2010-07-19 19:49:07,0
105,68,2010-07-19 19:49:07,0
106,69,2010-07-19 19:49:07,0
107,87,2010-07-19 19:49:07,0
108,94,2010-07-19 19:49:07,0
109,101,2010-07-19 19:49:07,0
110,6,2010-07-19 19:49:07,0
112,39,2010-07-19 19:54:06,0
113,17,2010-07-19 19:54:06,0
114,74,2010-07-19 19:59:06,0
