id,count,excerptpostid,pageid
1,1342,20258,0
2,168,62158,0
3,6,,0
4,191,67815,0
5,13,,0
6,1880,8046,0
9,2564,9066,0
10,514,20490,0
11,219,28276,0
12,120,69287,0
15,97,66319,0
16,157,,0
17,75,64387,0
18,30,,0
21,1333,9251,0
23,23,63450,0
26,75,87156,0
27,310,40526,0
28,127,40912,0
30,2737,3017,0
33,437,28218,0
37,292,21863,0
38,2000,3019,0
39,487,28336,0
41,7244,2331,0
44,490,28212,0
46,41,67696,0
47,1585,8556,0
48,75,,0
50,169,28194,0
52,3,,0
54,982,20484,0
55,1111,3015,0
58,143,68772,0
59,316,33480,0
60,236,63555,0
62,535,50760,0
67,7,,0
72,559,20492,0
74,608,3190,0
75,117,62398,0
76,21,,0
77,304,38335,0
78,197,26936,0
79,98,38369,0
82,3,,0
85,457,9286,0
86,165,28979,0
87,83,90673,0
88,71,,0
89,55,,0
93,105,68858,0
94,1338,20262,0
102,14,,0
109,774,8579,0
110,53,,0
111,5413,8172,0
113,317,28332,0
117,17,,0
118,37,21498,0
119,219,65955,0
120,171,38519,0
121,135,26618,0
122,307,33482,0
124,98,79731,0
125,126,62173,0
126,838,28210,0
127,668,19424,0
128,189,,0
129,681,26938,0
130,50,,0
131,756,18402,0
132,152,28977,0
133,148,63580,0
135,1362,20260,0
136,2,80769,0
138,32,80431,0
141,60,22100,0
143,41,80472,0
144,124,64646,0
147,766,18602,0
148,97,67588,0
150,6,66066,0
152,32,,0
157,277,35289,0
158,420,50757,0
159,885,20488,0
160,408,28226,0
161,586,28329,0
162,229,64717,0
169,36,62698,0
170,29,63188,0
171,77,,0
173,17,,0
176,489,8944,0
177,7,,0
179,135,68821,0
182,104,87259,0
183,122,32759,0
186,37,,0
188,2081,20256,0
194,106,,0
196,60,,0
197,3,,0
198,53,,0
200,439,31779,0
201,72,68576,0
203,8,66382,0
204,4,,0
206,448,28220,0
207,160,79721,0
210,252,28334,0
211,47,,0
213,911,33251,0
215,205,21859,0
216,331,19816,0
217,3,,0
218,452,33486,0
219,614,28325,0
220,41,50292,0
221,568,14288,0
222,17,,0
223,61,112518,0
225,89,70908,0
229,185,16297,0
231,463,7381,0
233,150,38878,0
234,19,76632,0
235,16,,0
236,62,40843,0
237,504,3013,0
240,5,18561,0
241,71,,0
243,667,10765,0
246,836,6137,0
249,59,,0
250,128,63474,0
251,98,43068,0
255,388,63363,0
256,369,31983,0
257,184,32804,0
260,78,66323,0
262,8,,0
263,872,2417,0
270,16,,0
272,131,28273,0
274,177,65033,0
275,939,18573,0
276,26,,0
278,81,,0
280,103,65151,0
281,76,38823,0
283,602,20494,0
284,210,61833,0
288,590,28216,0
289,41,79440,0
290,127,28270,0
291,23,,0
294,175,41309,0
295,20,20541,0
296,81,65149,0
297,9,,0
299,125,61383,0
300,49,,0
303,73,62078,0
304,22,113470,0
305,786,21857,0
306,81,,0
307,460,4037,0
308,59,61388,0
309,21,73482,0
310,102,51631,0
312,25,,0
313,32,37603,0
319,246,65294,0
320,32,,0
321,624,20264,0
322,174,13030,0
323,225,28900,0
325,113,79473,0
